ID	Q1	Q3	RT	DP	CE	Compound name	Classes	Identification	SMILES	InChI	Library ID	keggID	Molecular formula	Observed mass (Da)	Exact mass (Da)	Accurate mass error (ppm)	Ionization model	Precursor ions (Q1)	Product ions (Q3)	Q4	Q5	Q6	Q7	Q8
mr048	611.2	287	4.4	40	30	Cyanidin 3,5-di-O-hexoside	Flavonoid	putative	[O-]c1cc(OC2OC(CO)C(O)C(O)C2O)c2cc(OC3OC(CO)C(O)C(O)C3O)c(-c3ccc(O)cc3)[o+]c2c1	InChI=1S/C27H30O15/c28-8-17-19(32)21(34)23(36)26(41-17)39-15-6-12(31)5-14-13(15)7-16(25(38-14)10-1-3-11(30)4-2-10)40-27-24(37)22(35)20(33)18(9-29)42-27/h1-7,17-24,26-29,32-37H,8-9H2,(H-,30,31)	MS000009933	C08725	C27H30O15	594.522	594.1585	26986.5	H+	611.18	287	153	109			
p0768	219.1	189.1	6.7	40	30	6-Hydroxytremetone	Polyphenol	putative	C=C(C)C1Cc2cc(C(C)=O)c(O)cc2O1	InChI=1S/C13H14O3/c1-7(2)12-5-9-4-10(8(3)14)11(15)6-13(9)16-12/h4,6,12,15H,1,5H2,2-3H3	MS000020153	C08744	C13H14O3	218.252	218.0943	7.1								
mr1302	497.3	335.3	13.3	10	20	Polypodine B	Other	putative	CC(C)(O)CCC(O)C(C)(O)C1CCC2(O)C3=CC(=O)C4(O)CC(O)C(O)CC4(C)C3CCC12C	InChI=1S/C27H44O8/c1-22(2,32)9-8-20(30)25(5,33)19-7-11-26(34)16-12-21(31)27(35)14-18(29)17(28)13-24(27,4)15(16)6-10-23(19,26)3/h12,15,17-20,28-30,32-35H,6-11,13-14H2,1-5H3	MS000016577	C08834	C27H44O8	496.641	496.3036	21.9	H+	497.3109	335.3	261.2	135.1	91		
mr1433	415.1	119.1	12.2	30	10	Diosgenin	Other	putative	CC1CCC2(OC1)OC1CC3C4CC=C5CC(O)CCC5(C)C4CCC3(C)C1C2C	InChI=1S/C27H42O3/c1-16-7-12-27(29-15-16)17(2)24-23(30-27)14-22-20-6-5-18-13-19(28)8-10-25(18,3)21(20)9-11-26(22,24)4/h5,16-17,19-24,28H,6-15H2,1-4H3	MS000001936	C08898	C27H42O3	414.63	414.3134	532.6		415.0757	119.1	91.1	107.1	135.1	117.1	69
S12-0413	163	89	5.8	50	40	7-Hydroxycoumarine	Polyphenol	putative	O=c1ccc2ccc(O)cc2o1	InChI=1S/C9H6O3/c10-7-3-1-6-2-4-9(11)12-8(6)5-7/h1-5,10H	MS000000957	C09315	C9H6O3	162.144	162.0317	240.4	H+	163.0389	89	135	145	117	77	
S18-0098	328.1	310.1	4.4	70	10	Picrotin	Other	putative	CC(C)(O)C1C2OC(=O)C1C1(O)CC3OC34C(=O)OC2C14C	InChI=1S/C15H18O7/c1-12(2,18)6-7-10(16)20-8(6)9-13(3)14(7,19)4-5-15(13,22-5)11(17)21-9/h5-9,18-19H,4H2,1-3H3	MS000004666	C09528	C15H18O7	310.302	310.1053	54779.6	NH4+	328.1386	310.1	264.1	120.1	166.1	130	91.1
R11-1579	389.2	167.1	6.5	40	20	Diacetoxyscirpenol	Other	putative	CC(=O)OCC12CCC(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2	InChI=1S/C19H26O7/c1-10-5-6-18(8-23-11(2)20)13(7-10)26-16-14(22)15(25-12(3)21)17(18,4)19(16)9-24-19/h7,13-16,22H,5-6,8-9H2,1-4H3	MS000004167	C09662	C19H26O7	366.41	366.1679	60149.6	Na+	389.1588	167.1	371.1	179.1	191.1	359.1	181
mr1357	235.2	179.2	14	30	20	Polygodial	Other	putative	CC1(C)CCCC2(C)C(C=O)C(C=O)=CCC12	InChI=1S/C15H22O2/c1-14(2)7-4-8-15(3)12(10-17)11(9-16)5-6-13(14)15/h5,9-10,12-13H,4,6-8H2,1-3H3	MS000004045	C09712	C15H22O2	234.339	234.162	131.3	H+	235.1691	179.2	91.1	79.3			
mr1244	581.2	383.2	5.6	70	50	C-pentosyl-luteolin-C-hexoside	Flavonoid	putative	O=c1cc(-c2ccc(O)c(O)c2)oc2c(C3OCC(O)C(O)C3O)c(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12	InChI=1S/C26H28O15/c27-5-13-18(33)21(36)23(38)26(41-13)15-19(34)14-10(30)4-12(7-1-2-8(28)9(29)3-7)40-24(14)16(20(15)35)25-22(37)17(32)11(31)6-39-25/h1-4,11,13,17-18,21-23,25-29,31-38H,5-6H2	MS000010831	C10026	C26H28O15	580.495	580.1428	86.1	H+	581.1503	383.2	419.1	365.2	353.2	329.2	
mr1215	565.2	499.2	5.9	20	20	C-pentosyl-C-hexosyl-apigenin	Flavonoid	putative	O=c1cc(-c2ccc(O)cc2)oc2c(C3OCC(O)C(O)C3O)c(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12	InChI=1S/C26H28O14/c27-6-13-18(32)21(35)23(37)26(40-13)15-19(33)14-10(29)5-12(8-1-3-9(28)4-2-8)39-24(14)16(20(15)34)25-22(36)17(31)11(30)7-38-25/h1-5,11,13,17-18,21-23,25-28,30-37H,6-7H2	MS000010972	C10110	C26H28O14	564.496	564.1479	79.5	H+	565.1553	499.2	547.3	511.3	427.4	379.5	
R11-1445	403.1	167.1	8.8	30	20	Nobiletin	Flavonoid	putative	COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1OC	InChI=1S/C21H22O8/c1-23-13-8-7-11(9-15(13)24-2)14-10-12(22)16-17(25-3)19(26-4)21(28-6)20(27-5)18(16)29-14/h7-10H,1-6H3	MS000004125	C10112	C21H22O8	402.399	402.1315	96.4	H+	403.1381	167.1	219.1	301.1	115.1	127	175.1
R11-1562	373.1	137.1	8.9	60	20	Tangeritin	Flavonoid	putative	COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1	InChI=1S/C20H20O7/c1-22-12-8-6-11(7-9-12)14-10-13(21)15-16(23-2)18(24-3)20(26-5)19(25-4)17(15)27-14/h6-10H,1-5H3	MS000004028	C10190	C20H20O7	372.373	372.1209	75.6	H+	373.1281	137.1	201.1	355.1	343.1	325.1	219.1
mr1058	331.1	315	9.3	60	30	Tricin	Flavonoid	standard	COc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc(OC)c1O	InChI=1S/C17H14O7/c1-22-14-3-8(4-15(23-2)17(14)21)12-7-11(20)16-10(19)5-9(18)6-13(16)24-12/h3-7,18-19,21H,1-2H3	MS000009385	C10193	C17H14O7	330.292	330.074	56.8	H+	331.0811	315	285	258	243	153	
mr1150	595.2	409.2	6.4	70	60	di-C,C-hexosyl-apigenin	Flavonoid	putative	O=c1cc(-c2ccc(O)cc2)oc2c(C3OC(CO)C(O)C(O)C3O)c(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12	InChI=1S/C27H30O15/c28-6-12-17(32)21(36)23(38)26(41-12)15-19(34)14-10(31)5-11(8-1-3-9(30)4-2-8)40-25(14)16(20(15)35)27-24(39)22(37)18(33)13(7-29)42-27/h1-5,12-13,17-18,21-24,26-30,32-39H,6-7H2	MS000011170	C10195	C27H30O15	594.522	594.1585	57.6	H+	595.1659	409.2	577.2	559.3	439.3	379.2	
mr1183	339.1	147	5.9	40	30	3-O-p-Coumaroylquinic acid	Polyphenol	standard	O=C(C=Cc1ccc(O)cc1)OC1CC(O)(C(=O)O)CC(O)C1O	InChI=1S/C16H18O8/c17-10-4-1-9(2-5-10)3-6-13(19)24-12-8-16(23,15(21)22)7-11(18)14(12)20/h1-6,11-12,14,17-18,20,23H,7-8H2,(H,21,22)		C12208	C16H18O8	338.312	338.1002	22	H+	339.1076	147	119.1	97.1			
S13-1023	165.1	123	2.7	20	10	3,4-Dihydroxyphenylpropionic acid	Polyphenol	putative	O=C(O)CCc1ccc(O)c(O)c1	InChI=1S/C9H10O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1,3,5,10-11H,2,4H2,(H,12,13)	MS000009556	C10447	C9H10O4	182.175	182.0579	98678.2	H+	165.0546	123	95	119	147	91.1	103.1
mr2095	295.2	137.1	14.3	30	20	Gingerol	Polyphenol	putative	CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1	InChI=1S/C17H26O4/c1-3-4-5-6-14(18)12-15(19)9-7-13-8-10-16(20)17(11-13)21-2/h8,10-11,14,18,20H,3-7,9,12H2,1-2H3	MS000004556	C10462	C17H26O4	294.391	294.1831	32.8	H+	295.1906	137.1	94	122	115.1	91.1	66
mr1006	265.2	177.2	4.4	20	10	N-Feruloylputrescine	Phenolamide	standard	COc1cc(C=CC(=O)NCCCCN)ccc1O	InChI=1S/C14H20N2O3/c1-19-13-10-11(4-6-12(13)17)5-7-14(18)16-9-3-2-8-15/h4-7,10,17H,2-3,8-9,15H2,1H3,(H,16,18)	MS000009850	C10497	C14H20N2O3	264.325	264.1474	171.7	H+	265.1551	177.2	145.2	117	89		
R11-1166	197.1	137.1	1	20	10	3',5'-Dimethoxy-4'-hydroxyacetophenone	Polyphenol	putative	COc1cc(C(C)=O)cc(OC)c1O	InChI=1S/C10H12O4/c1-6(11)7-4-8(13-2)10(12)9(5-7)14-3/h4-5,12H,1-3H3	MS000001271	C10664	C10H12O4	196.202	196.0736	97.7	H+	197.0808	137.1	179.1	147	156	122	119
mr953	359.1	137.1	7	50	60	Matairesinol	Polyphenol	putative	COc1cc(CC2COC(=O)C2Cc2ccc(O)c(OC)c2)ccc1O	InChI=1S/C20H22O6/c1-24-18-9-12(3-5-16(18)21)7-14-11-26-20(23)15(14)8-13-4-6-17(22)19(10-13)25-2/h3-6,9-10,14-15,21-22H,7-8,11H2,1-2H3	MS000005018	C10682	C20H22O6	358.39	358.1416	136.4	H+	359.1484	137.1	119	175.1	161.1	91.1	255.1
R11-2006	199.1	140	6	80	30	Syringic acid	Polyphenol	putative	COc1cc(C(=O)O)cc(OC)c1O	InChI=1S/C9H10O5/c1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h3-4,10H,1-2H3,(H,11,12)	MS000000900	C10833	C9H10O5	198.174	198.0528	201.7	H+	199.0601	140	155.1	125	97	77	123
mr615	325.1	163.2	1.4	20	10	Diethylpyrocarbonate	Other	putative	CCOC(=O)OC(=O)OCC	InChI=1S/C6H10O5/c1-3-9-5(7)11-6(8)10-4-2/h3-4H2,1-2H3	MS000016300	C11592	C6H10O5	162.141	162.0528	999920.7	H+	325.113	163.2	193.9	243	249		
GA12	331.2	313.2	9.4	-133	-36	GA12	Phytohormone derivative	putative	C=C1CC23CC1CCC2C1(C)CCCC(C)(C(=O)O)C1C3C(=O)O	InChI=1S/C20H28O4/c1-11-9-20-10-12(11)5-6-13(20)18(2)7-4-8-19(3,17(23)24)15(18)14(20)16(21)22/h12-15H,1,4-10H2,2-3H3,(H,21,22)(H,23,24)	MS000016348	C11857	C20H28O4	332.44	332.1988	25.4								
S18-0043	318.3	70.1	8.9	60	30	2-Amino-1,3,4-octadecanetriol	Lipid	putative	CCCCCCCCCCCCCCC(O)C(O)C(N)CO	InChI=1S/C18H39NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-17(21)18(22)16(19)15-20/h16-18,20-22H,2-15,19H2,1H3	MS000007247	C12144	C18H39NO3	317.514	317.293	0.8	H+	318.3004	70.1	88.1	212.2	300.3	256.3	
mr1622	165.1	147	6.6	20	20	3-Coumaric acid	Polyphenol	standard	O=C(O)C=Cc1cccc(O)c1	InChI=1S/C9H8O3/c10-8-3-1-2-7(6-8)4-5-9(11)12/h1-6,10H,(H,11,12)	MS000001005	C12621	C9H8O3	164.16	164.0473	277.1	H+	165.0543	147	119	65.1	66.9		
p0200	579.2	167.1	6.1	40	30	Rhoifolin	Flavonoid	putative	CC1OC(OC2C(Oc3cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc4c3)OC(CO)C(O)C2O)C(O)C(O)C1O	InChI=1S/C27H30O14/c1-10-20(32)22(34)24(36)26(37-10)41-25-23(35)21(33)18(9-28)40-27(25)38-13-6-14(30)19-15(31)8-16(39-17(19)7-13)11-2-4-12(29)5-3-11/h2-8,10,18,20-30,32-36H,9H2,1H3	MS000002818	C12627	C27H30O14	578.523	578.1636	50.4								
p0392	189.2	130.1	1.3	40	30	N-Alpha-acetyllysine	Amino acid derivative	putative	CC(=O)NC(CCCCN)C(=O)O	InChI=1S/C8H16N2O3/c1-6(11)10-7(8(12)13)4-2-3-5-9/h7H,2-5,9H2,1H3,(H,10,11)(H,12,13)	MS000007679	C12989	C8H16N2O3	188.227	188.1161	407.5								
n07677	243.197	197.2	15.5	-60	-30	2-Hydroxymyristic acid	Lipid	putative	CCCCCCCCCCCCC(O)C(=O)O	InChI=1S/C14H28O3/c1-2-3-4-5-6-7-8-9-10-11-12-13(15)14(16)17/h13,15H,2-12H2,1H3,(H,16,17)	MS000004404	C13790	C14H28O3	244.375	244.2038	1.8	H-	243.1966	197.2	183.2	59	225.2	181.2	
OPDA	291.2	165.2	10.6	-100	-25	OPDA	Phytohormone derivative	standard	Nc1ccccc1N	InChI=1S/C6H8N2/c7-5-3-1-2-4-6(5)8/h1-4H,7-8H2	MS000016545	C14402	C6H8N2	108.144	108.0687	1703902.7								
p0232	267.3	99.1	13.8	40	30	Tributyl phosphate	Other	putative	CCCCOP(=O)(OCCCC)OCCCC	InChI=1S/C12H27O4P/c1-4-7-10-14-17(13,15-11-8-5-2)16-12-9-6-3/h4-12H2,1-3H3	MS000004063	C14439	C12H27O4P	266.318	266.1647	481.1								
n02163	293.212	209.2	14.2	-40	-20	9-KODE	Lipid	putative	CCCCCC=CC=CC(=O)CCCCCCCC(=O)O	InChI=1S/C18H30O3/c1-2-3-4-5-6-8-11-14-17(19)15-12-9-7-10-13-16-18(20)21/h6,8,11,14H,2-5,7,9-10,12-13,15-16H2,1H3,(H,20,21)	MS000006108	C14766	C18H30O3	294.435	294.2195	0.8	H-	293.2125	209.2	275.2	231.2	221.2		
mr2216	295.228	171.1	15.2	-40	-50	9S-hydroxy-10E,12Z-octadecadienoic acid (9(S)-HODE)	Lipid	putative	CCCCCC=CC=CC(O)CCCCCCCC(=O)O	InChI=1S/C18H32O3/c1-2-3-4-5-6-8-11-14-17(19)15-12-9-7-10-13-16-18(20)21/h6,8,11,14,17,19H,2-5,7,9-10,12-13,15-16H2,1H3,(H,20,21)	MS000008769	C14767	C18H32O3	296.451	296.2351	0.5	H-	295.2277	171.1	183.1	59	125.1	64.9	277.2
R11-1801	297.2	279.2	9.4	80	20	(+/-)12(13)-DiHOME	Other	putative	CCCCCC(O)C(O)CC=CCCCCCCCC(=O)O	InChI=1S/C18H34O4/c1-2-3-10-13-16(19)17(20)14-11-8-6-4-5-7-9-12-15-18(21)22/h8,11,16-17,19-20H,2-7,9-10,12-15H2,1H3,(H,21,22)	MS000004348	C14829	C18H34O4	314.466	314.2457	57448.5	H+	297.2419	279.2	81.1	95.1	67.1	71.1	99.1
p0827	339.3	283.2	15.8	40	30	11beta,17beta-Dihydroxy-9alpha-fluoro-17alpha-methyl-5alpha-androstan-3-one	Other	putative	CC1(O)CCC2C3CCC4CC(=O)CCC4(C)C3(F)C(O)CC21C	InChI=1S/C20H31FO3/c1-17-8-6-13(22)10-12(17)4-5-15-14-7-9-19(3,24)18(14,2)11-16(23)20(15,17)21/h12,14-16,23-24H,4-11H2,1-3H3	MS000024497	C15338	C20H31FO3	338.463	338.2257	198.2								
cZ	220.1	136.1	4.9	58	25	cis-Zeatin	Phytohormone derivative	standard	CC(=CCNc1nc[nH]c2ncnc1-2)CO	InChI=1S/C10H13N5O/c1-7(4-16)2-3-11-9-8-10(13-5-12-8)15-6-14-9/h2,5-6,16H,3-4H2,1H3,(H2,11,12,13,14,15)	MS000000903	C15545	C10H13N5O	219.248	219.112	87.9								
p0626	344.1	164.1	4.9	40	30	DIBOA + O-Hex	Amino acid derivative	putative	O=C1C(OC2OC(CO)C(O)C(O)C2O)Oc2ccccc2N1O	InChI=1S/C14H17NO9/c16-5-8-9(17)10(18)11(19)13(23-8)24-14-12(20)15(21)6-3-1-2-4-7(6)22-14/h1-4,8-11,13-14,16-19,21H,5H2	MS000015024	C15772	C14H17NO9	343.288	343.0903	7.1								
mr232	611.2	303.1	6.4	80	30	Delphinidin 3-O-rutinoside	Flavonoid	putative	CC1OC(OCC2OC(Oc3cc4c(O)cc(O)cc4[o+]c3-c3cc(O)c([O-])c(O)c3)C(O)C(O)C2O)C(O)C(O)C1O	InChI=1S/C27H30O16/c1-8-18(32)21(35)23(37)26(40-8)39-7-17-20(34)22(36)24(38)27(43-17)42-16-6-11-12(29)4-10(28)5-15(11)41-25(16)9-2-13(30)19(33)14(31)3-9/h2-6,8,17-18,20-24,26-27,32,34-38H,7H2,1H3,(H4-,28,29,30,31,33)	MS000009831	C16315	C27H30O16	610.521	610.1534	64.5	H+	611.2	303.1	287	153			
mr2117	352.2	220.1	5.5	40	20	trans zeatin-riboside (tZR)	Phytohormone derivative	standard	CC(=CCNc1ncnc2c1ncn2C1OC(CO)C(O)C1O)CO	InChI=1S/C15H21N5O5/c1-8(4-21)2-3-16-13-10-14(18-6-17-13)20(7-19-10)15-12(24)11(23)9(5-22)25-15/h2,6-7,9,11-12,15,21-24H,3-5H2,1H3,(H,16,17,18)	MS000009758	C16431	C15H21N5O5	351.363	351.1543	109.5	H+	352.2	220.1	185	136			
ZR-2	352.2	136.1	4.9	60	40	cis zeatin-riboside (cZR)	Phytohormone derivative	putative	CC(=CCNc1ncnc2c1ncn2C1OC(CO)C(O)C1O)CO	InChI=1S/C15H21N5O5/c1-8(4-21)2-3-16-13-10-14(18-6-17-13)20(7-19-10)15-12(24)11(23)9(5-22)25-15/h2,6-7,9,11-12,15,21-24H,3-5H2,1H3,(H,16,17,18)	MS000009758	C16449	C15H21N5O5	351.363	351.1543	109.5								
p0670	309.2	84.1	0.9	40	30	E-N-Deoxyfructosyllysine	Amino acid derivative	putative	NC(CCCCNCC(=O)C(O)C(O)C(O)CO)C(=O)O	InChI=1S/C12H24N2O7/c13-7(12(20)21)3-1-2-4-14-5-8(16)10(18)11(19)9(17)6-15/h7,9-11,14-15,17-19H,1-6,13H2,(H,20,21)	MS000015645	C16488	C12H24N2O7	308.331	308.1584	111.5								
S18-0788	221.2	203.2	10.3	60	20	Caryophyllene oxide	Other	putative	C=C1CCC2OC2(C)CCC2C1CC2(C)C	InChI=1S/C15H24O/c1-10-5-6-13-15(4,16-13)8-7-12-11(10)9-14(12,2)3/h11-13H,1,5-9H2,2-4H3	MS000004297	C16908	C15H24O	220.356	220.1827	45.6	H+	221.1898	203.2	81.1	119.1	163.1	95.1	107.1
mr1278	195.1	81.1	9.6	30	30	Sedanolide	Other	putative	CCCCC1OC(=O)C2=CCCCC21	InChI=1S/C12H18O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h7,9,11H,2-6,8H2,1H3	MS000004186	C17002	C12H18O2	194.274	194.1307	195.5	H+	195.1378	81.1	149.1	135.1	107.1		
mr2042	180.1	120.1	4.4	20	10	Homophenylalanine	Nucleic acid derivative	putative	NC(CCc1ccccc1)C(=O)O	InChI=1S/C10H13NO2/c11-9(10(12)13)7-6-8-4-2-1-3-5-8/h1-5,9H,6-7,11H2,(H,12,13)	MS000016396	C17235	C10H13NO2	179.219	179.0946	10.3	H+	180.1016	120.1	103	91	77		
R11-0476	341.1	311.1	7.9	70	10	8-Prenylnaringenin	Flavonoid	putative	CC(C)=CCc1c(O)cc(O)c2c1OC(c1ccc(O)cc1)CC2=O	InChI=1S/C20H20O5/c1-11(2)3-8-14-15(22)9-16(23)19-17(24)10-18(25-20(14)19)12-4-6-13(21)7-5-12/h3-7,9,18,21-23H,8,10H2,1-2H3	MS000010413	C18023	C20H20O5	340.375	340.1311	112.8	H+	341.1378	311.1	137.1	251.1	175.1	291.1	279.1
mr1013	307.2	177.2	4.7	50	40	N-Feruloylagmatine	Phenolamide	standard	COc1cc(C=CC(=O)NCCCCNC(=N)N)ccc1O	InChI=1S/C15H22N4O3/c1-22-13-10-11(4-6-12(13)20)5-7-14(21)18-8-2-3-9-19-15(16)17/h4-7,10,20H,2-3,8-9H2,1H3,(H,18,21)(H4,16,17,19)	MS000015174	C18325	C15H22N4O3	306.366	306.1692	76.9	H+	307.1758	177.2	290.1	145.2	117	89	
mr1051	235.1	147.2	4.2	70	30	N-p-Coumaroylputrescine	Phenolamide	standard	NCCCCNC(=O)C=Cc1ccc(O)cc1	InChI=1S/C13H18N2O2/c14-9-1-2-10-15-13(17)8-5-11-3-6-12(16)7-4-11/h3-8,16H,1-2,9-10,14H2,(H,15,17)	MS000015204	C18326	C13H18N2O2	234.299	234.1368	188.1	H+	235.1441	147.2	218.2	175.2	119.1	91.1	
JA-ILE	322.1	130.1	10.7	-40	-25	JA-ILE	Phytohormone derivative	standard	CCC=CCC1C(=O)CCC1CC(=O)NC(C(=O)O)C(C)CC	InChI=1S/C18H29NO4/c1-4-6-7-8-14-13(9-10-15(14)20)11-16(21)19-17(18(22)23)12(3)5-2/h6-7,12-14,17H,4-5,8-11H2,1-3H3,(H,19,21)(H,22,23)	MS000016422	C18699	C18H29NO4	323.433	323.2097	317								
p0198	279.2	120.1	5.3	40	30	Oxadixyl	Other	putative	COCC(=O)N(c1c(C)cccc1C)N1CCOC1=O	InChI=1S/C14H18N2O4/c1-10-5-4-6-11(2)13(10)16(12(17)9-19-3)15-7-8-20-14(15)18/h4-6H,7-9H2,1-3H3	MS000002736	C18753	C14H18N2O4	278.308	278.1267	237.5								
p0010	234.2	91.1	12.5	40	30	Tebutam	Other	putative	CC(C)N(Cc1ccccc1)C(=O)C(C)(C)C	InChI=1S/C15H23NO/c1-12(2)16(14(17)15(3,4)5)11-13-9-7-6-8-10-13/h6-10,12H,11H2,1-5H3	MS000000089	C18896	C15H23NO	233.355	233.178	63.3								
S19-0689	159.1	132.1	4.7	30	10	1,5-Naphthalenediamine	Other	putative	Nc1cccc2c(N)cccc12	InChI=1S/C10H10N2/c11-9-5-1-3-7-8(9)4-2-6-10(7)12/h1-6H,11-12H2	MS000002221	C19463	C10H10N2	158.204	158.0844	52.8	H+	159.0915	132.1	130.1	142.1	115.1	117.1	113
n01214	285.207	223.2	12.1	-60	-30	Hexadecanedioic acid	Lipid	putative	O=C(O)CCCCCCCCCCCCCCC(=O)O	InChI=1S/C16H30O4/c17-15(18)13-11-9-7-5-3-1-2-4-6-8-10-12-14-16(19)20/h1-14H2,(H,17,18)(H,19,20)	MS000002092	C19615	C16H30O4	286.412	286.2144	0.5	H-	285.2071	223.2	267.2	241.2	57	69	80
mr2172	160.04	116.1	7.3	-70	-30	Indole-3-carboxylic acid	Phytohormone derivative	standard	O=C(O)c1c[nH]c2ccccc12	InChI=1S/C9H7NO2/c11-9(12)7-5-10-8-4-2-1-3-6(7)8/h1-5,10H,(H,11,12)	MS000002535	C19837	C9H7NO2	161.16	161.0477	2.8	H-	160.0403	116.1	66	114	50	90	74
IAA-Me	190	130	9.9	30	40	IAA-Me	Phytohormone derivative	standard	COC(=O)Cc1c[nH]c2ccccc12	InChI=1S/C11H11NO2/c1-14-11(13)6-8-7-12-10-5-3-2-4-9(8)10/h2-5,7,12H,6H2,1H3	MS000000414	C20635	C11H11NO2	189.214	189.079	456.2								
p0409	182.1	110.1	5.4	40	30	3-Hydroxyphenylalanine	Amino acid derivative	putative	NC(Cc1cccc(O)c1)C(=O)O	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-2-1-3-7(11)4-6/h1-4,8,11H,5,10H2,(H,12,13)	MS000008004	C20807	C9H11NO3	181.191	181.0739	104.1								
IAA-crA	188	170	8.3	60	20	IAA-crA	Phytohormone derivative	standard	O=C(O)C=Cc1c[nH]c2ccccc12	InChI=1S/C11H9NO2/c13-11(14)6-5-8-7-12-10-4-2-1-3-9(8)10/h1-7,12H,(H,13,14)	MS000000384	C21283	C11H9NO2	187.198	187.0633	377.1								
mr1442	298.1	136.1	5.2	30	10	5'-Deoxy-5'-(methylthio)adenosine	Nucleic acid derivative	putative	CSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O	InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)	MS000000225		C11H15N5O3S	297.34	297.0896	10.6	H+	298.0961	136.1	119.1				
mr172	130	69.9	1.3	40	10	Homoproline	Amino acid derivative	putative	O=C(O)C1CCCCN1	InChI=1S/C6H11NO2/c8-6(9)5-3-1-2-4-7-5/h5,7H,1-4H2,(H,8,9)	MS000000459		C6H11NO2	129.159	129.079	668.2	H+	130	69.9	96	67			
S17-1871	369.1	177.1	6.1	40	20	Feruloyl quinic acid	Polyphenol	putative	COc1cc(C=CC(=O)OC2CC(O)(C(=O)O)CC(O)C2O)ccc1O	InChI=1S/C17H20O9/c1-25-12-6-9(2-4-10(12)18)3-5-14(20)26-13-8-17(24,16(22)23)7-11(19)15(13)21/h2-6,11,13,15,18-19,21,24H,7-8H2,1H3,(H,22,23)	MS000010856		C17H20O9	368.338	368.1107	48.8	H+	369.1175	177.1	145	117	89		
mr1095	595.2	283.3	6	50	60	di-C,C-hexosyl-apigenin derivative	Flavonoid	putative	O=c1cc(-c2ccc(O)cc2)oc2c(C3OC(CO)C(O)C(O)C3O)c(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12	InChI=1S/C27H30O15/c28-6-12-17(32)21(36)23(38)26(41-12)15-19(34)14-10(31)5-11(8-1-3-9(30)4-2-8)40-25(14)16(20(15)35)27-24(39)22(37)18(33)13(7-29)42-27/h1-5,12-13,17-18,21-24,26-30,32-39H,6-7H2	MS000011170		C27H30O15	594.522	594.1585	57.6	H+	595.1662	283.3	577.2	559.3	409.3	355.4	
R10-0982	295.2	277.2	14.3	40	20	9-Oxo-10(E),12(E)-octadecadienoic acid	Lipid	putative	CCCCCC=CC=CC(=O)CCCCCCCC(=O)O	InChI=1S/C18H30O3/c1-2-3-4-5-6-8-11-14-17(19)15-12-9-7-10-13-16-18(20)21/h6,8,11,14H,2-5,7,9-10,12-13,15-16H2,1H3,(H,20,21)	MS000006108		C18H30O3	294.435	294.2195	90.9	H+	295.2263	277.2	67.1	81.1	93.1	95.1	71.1
IAA-ALA	244.9	156	7.5	-59	-20	IAA-ALA	Phytohormone derivative	standard	CC(NC(=O)Cc1c[nH]c2ccccc12)C(=O)O	InChI=1S/C13H14N2O3/c1-8(13(17)18)15-12(16)6-9-7-14-11-5-3-2-4-10(9)11/h2-5,7-8,14H,6H2,1H3,(H,15,16)(H,17,18)	MS000009891		C13H14N2O3	246.266	246.1004	784.8								
n03156-1	473.218	59	12.2	-20	-10	(11β,16α)-17-Hydroperoxy-16-methyl-3,20-dioxopregna-1,4-diene-11,21-diyl diacetate	Lipid	putative	CC(=O)OCC(=O)C1(OO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3C(OC(C)=O)CC21C	InChI=1S/C26H34O8/c1-14-10-20-19-7-6-17-11-18(29)8-9-24(17,4)23(19)21(33-16(3)28)12-25(20,5)26(14,34-31)22(30)13-32-15(2)27/h8-9,11,14,19-21,23,31H,6-7,10,12-13H2,1-5H3			C26H34O8	474.55	474.2254	0.3	H-	473.2176	59	217	428			
